,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
165,2016-05-15,11,4803,Jesús,Navas,M,Right Winger
166,2016-05-15,11,4288,Kevin,De Bruyne,M,Left/Centre/Right Attacking Midfielder
167,2016-05-15,11,3311,Bacary,Sagna,D,Right Full Back
168,2016-05-15,11,3143,Joe,Hart,G,Goalkeeper
169,2016-05-15,11,5334,Eliaquim,Mangala,D,Centre Central Defender
170,2016-05-15,11,13554,Kelechi,Iheanacho,F,Centre Striker
171,2016-05-15,11,4804,Fernando,Luiz Rosa,M,Centre Defensive Midfielder
172,2016-05-15,11,4328,Sergio,Agüero,F,Centre Striker
173,2016-05-15,11,6058,Nicolás,Otamendi,D,Centre Central Defender
174,2016-05-15,11,2413,Gaël,Clichy,D,Left Full Back
175,2016-05-15,11,5344,Fernando Francisco,Reges,M,Centre Defensive Midfielder
176,2016-05-15,33,13824,José Manuel,Jurado,M,Left/Centre Attacking Midfielder
177,2016-05-15,33,3719,Heurelho,da Silva Gomes,G,Goalkeeper
178,2016-05-15,33,4004,Adlène,Guédioura,M,Centre Central Midfielder
179,2016-05-15,33,5668,Miguel,Britos,D,Left/Centre Central Defender
180,2016-05-15,33,4499,Nathan,Aké,D,Centre Central Defender
181,2016-05-15,33,9943,Almen,Abdi,M,Centre Attacking Midfielder
182,2016-05-15,33,10957,Odion,Ighalo,F,Striker
183,2016-05-15,33,3160,Craig,Cathcart,D,Centre Central Defender
184,2016-05-15,33,2686,Ben,Watson,M,Centre Central Midfielder
185,2016-05-15,33,13822,Sebastian,Prödl,D,Centre Central Defender
186,2016-05-15,33,9947,Troy,Deeney,F,Centre Striker
187,2016-05-15,29,3389,Jack,Rodwell,M,Centre Defensive Midfielder
188,2016-05-15,29,10510,Thomas,Robson,D,Left Full Back
189,2016-05-15,29,6387,Jeremain,Lens,F,Left/Right Winger
190,2016-05-15,29,2613,Sebastian,Larsson,M,Centre/Right Central Midfielder
191,2016-05-15,29,10461,Dame,N'Doye,F,Centre Striker
192,2016-05-15,29,4640,Jordan,Pickford,G,Goalkeeper
193,2016-05-15,29,13794,Rees,Greenwood,M,Midfielder
194,2016-05-15,29,10336,Duncan,Watmore,F,Left/Centre/Right Second Striker
195,2016-05-15,29,13791,Lamine,Koné,D,Centre Central Defender
196,2016-05-15,29,1717,John,O'Shea,D,Left/Centre/Right Central Defender
