id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
3847,2016-12-03,4,2620,Gary,Cahill,D,Centre Central Defender
3848,2016-12-03,4,4911,Thibaut,Courtois,G,Goalkeeper
3849,2016-12-03,4,3983,Victor,Moses,D,Right Wing Back
3850,2016-12-03,6,3517,James,Tomkins,D,Centre Central Defender
3851,2016-12-03,6,4539,Wilfried,Zaha,F,Left/Centre/Right Winger
3852,2016-12-03,6,4492,Christian,Benteke,F,Centre Striker
3853,2016-12-03,6,1911,Damien,Delaney,D,Centre Central Defender
3854,2016-12-03,6,3807,Scott,Dann,D,Centre Central Defender
3855,2016-12-03,6,3929,Joel,Ward,D,Right Full Back
3856,2016-12-03,6,4224,James,McArthur,M,Centre Central Midfielder
3857,2016-12-03,6,2569,Wayne,Hennessey,G,Goalkeeper
3858,2016-12-03,6,6047,Joe,Ledley,M,Left/Centre Central Midfielder
3859,2016-12-03,6,4084,Jason David Ian,Puncheon,M,Left/Centre/Right Attacking Midfielder
3860,2016-12-03,6,3724,Andros,Townsend,M,Left/Right Winger
3861,2016-12-03,20,2886,Ryan,Bertrand,D,Left Full Back
3862,2016-12-03,20,4617,James,Ward-Prowse,M,Centre Central Midfielder
3863,2016-12-03,20,4606,José Miguel,da Rocha Fonte,D,Centre Central Defender
3864,2016-12-03,20,3811,Nathan,Redmond,M,Left/Right Winger
3865,2016-12-03,20,11347,Cédric Ricardo,Alves Soares,D,Right Full Back
3866,2016-12-03,20,4286,Oriol,Romeu,M,Centre Defensive Midfielder
3867,2016-12-03,20,5272,Pierre-Emile,Højbjerg,M,Centre Central Midfielder
3868,2016-12-03,20,5140,Virgil,van Dijk,D,Centre Central Defender
3869,2016-12-03,20,12584,Sofiane,Boufal,M,Left/Centre/Right Attacking Midfielder
3870,2016-12-03,20,9468,Charlie,Austin,F,Centre Striker
3871,2016-12-03,20,3170,Fraser,Forster,G,Goalkeeper
3872,2016-12-03,42,4081,Charlie,Adam,M,Left/Centre Central Midfielder
3873,2016-12-03,42,4822,Marc,Muniesa,D,Left/Centre Central Defender
3874,2016-12-03,42,4821,Erik,Pieters,D,Left Full Back
3875,2016-12-03,42,1870,Lee,Grant,G,Goalkeeper
3876,2016-12-03,42,5267,Xherdan,Shaqiri,M,Centre/Right Attacking Midfielder
3877,2016-12-03,42,2047,Jonathan,Walters,F,Left/Centre/Right Second Striker
3878,2016-12-03,42,2148,Glen,Johnson,D,Left/Right Full Back
3879,2016-12-03,42,4823,Marko,Arnautovic,F,Left/Right Second Striker
3880,2016-12-03,42,5588,Giannelli,Imbula,M,Centre Defensive Midfielder
3881,2016-12-03,42,11177,Bruno,Martins Indi,D,Left/Centre Central Defender
3882,2016-12-03,42,3925,Mame Biram,Diouf,F,Centre Striker
3883,2016-12-03,43,4788,George,Boyd,M,Winger
3884,2016-12-03,43,8586,Jeff,Hendrick,M,Centre Central Midfielder
3885,2016-12-03,43,9060,Andre,Gray,F,Centre Striker
3886,2016-12-03,43,3999,Stephen,Ward,D,Left Full Back
3887,2016-12-03,43,4129,Jon,Flanagan,D,Right Full Back
3888,2016-12-03,43,8242,Scott,Arfield,M,Left/Centre/Right Attacking Midfielder
3889,2016-12-03,43,3909,Ben,Mee,D,Left/Centre Central Defender
3890,2016-12-03,43,2359,Dean,Marney,M,Centre Central Midfielder
3891,2016-12-03,43,4333,Michael,Keane,D,Centre Central Defender
3892,2016-12-03,43,8246,Ashley,Barnes,F,Centre Striker
3893,2016-12-03,43,1404,Paul,Robinson,G,Goalkeeper
3894,2016-12-03,29,4640,Jordan,Pickford,G,Goalkeeper
3895,2016-12-03,29,13791,Lamine,Koné,D,Centre Central Defender
3896,2016-12-03,29,10336,Duncan,Watmore,F,Left/Centre/Right Second Striker
3897,2016-12-03,29,2905,Victor,Anichebe,F,Centre Striker
3898,2016-12-03,29,13957,Papy,Djilobodji,D,Centre Central Defender
3899,2016-12-03,29,3362,Patrick,van Aanholt,D,Left Full Back
3900,2016-12-03,29,1526,Jermain,Defoe,F,Centre Striker
3901,2016-12-03,29,20708,Didier,Ndong,M,Centre Central Midfielder
3902,2016-12-03,29,11002,Jason,Denayer,D,Centre Central Defender
3903,2016-12-03,29,4438,Billy,Jones,D,Right Full Back
3904,2016-12-03,29,3388,Steven,Pienaar,M,Left/Centre/Right Attacking Midfielder
3905,2016-12-03,26,8979,Jamie,Vardy,F,Centre Striker
3906,2016-12-03,26,3662,Ron-Robert,Zieler,G,Goalkeeper
3907,2016-12-03,26,8976,Andy,King,M,Centre Central Midfielder
3908,2016-12-03,26,8983,Riyad,Mahrez,M,Left/Right Winger
3909,2016-12-03,26,3564,Marc,Albrighton,M,Left/Right Winger
3910,2016-12-03,26,5371,Christian,Fuchs,D,Left Full Back
3911,2016-12-03,26,8966,Wes,Morgan,D,Centre Central Defender
3912,2016-12-03,26,3157,Danny,Simpson,D,Right Full Back
3913,2016-12-03,26,2053,Robert,Huth,D,Centre Central Defender
3914,2016-12-03,26,12306,Daniel,Amartey,D,Right Full Back
3915,2016-12-03,26,11364,Islam,Slimani,F,Centre Striker
3916,2016-12-03,21,4999,Heung-Min,Son,F,Left/Centre/Right Winger
3917,2016-12-03,21,4816,Victor,Wanyama,M,Centre Defensive Midfielder
3918,2016-12-03,21,9167,Dele,Alli,M,Centre Attacking Midfielder
3919,2016-12-03,21,4112,Eric,Dier,M,Centre Defensive Midfielder
